x_Mn,x_Ni,x_Ga,VEC,predicted_ordering,confidence,prob_AFM,prob_FM,prob_FiM,prob_NM
0.0,0.58,0.42,7.06,NM,0.9998933326810164,1.8783510170554483e-05,7.59502229509103e-05,1.1933585862077743e-05,0.9998933326810164
0.0,0.6,0.4,7.2,NM,0.9997303641321931,3.971437146526721e-05,0.00019780775259828332,3.211374374336131e-05,0.9997303641321931
0.0,0.62,0.38,7.34,NM,0.9989950393811976,8.587599239167586e-05,0.0007050598719039419,0.00021402475450686472,0.9989950393811976
0.0,0.64,0.36,7.48,NM,0.9597244765276942,0.0011505849940325206,0.015670663545660213,0.02345427493261309,0.9597244765276942
0.0,0.66,0.34,7.620000000000001,NM,0.954971375546899,0.001130779289370938,0.03644572073304499,0.007452124430685164,0.954971375546899
0.0,0.68,0.32,7.760000000000001,NM,0.6200637846456678,0.007472497153046452,0.3568947104821765,0.015569007719109195,0.6200637846456678
0.0,0.7,0.3,7.9,FM,0.7586696660736454,0.01134756832305311,0.7586696660736454,0.007445412103306714,0.22253735349999457
0.0,0.72,0.28,8.04,FM,0.5845058537379553,0.02043174792031801,0.5845058537379553,0.013216032775123253,0.3818463655666036
0.0,0.74,0.26,8.18,NM,0.9170922031500058,0.003735272330348844,0.07667572287181271,0.0024968016478326854,0.9170922031500058
0.0,0.76,0.24,8.32,NM,0.965679383756668,0.0014164104701648694,0.03199974435497594,0.0009044614181912719,0.965679383756668
0.0,0.78,0.22,8.46,NM,0.756072537064344,0.002924240779881985,0.2390289059104883,0.001974316245285831,0.756072537064344
0.0,0.8,0.2,8.6,FM,0.9962344190240958,0.00184118723427512,0.9962344190240958,0.0012690119235983937,0.0006553818180308019
0.0,0.82,0.18,8.739999999999998,FM,0.9984253067171873,0.0009156724559092509,0.9984253067171873,0.0006002023598642662,5.881846703907187e-05
0.0,0.84,0.16,8.88,FM,0.9985475738306148,0.0008476448877531704,0.9985475738306148,0.0005669022794071235,3.787900222493202e-05
0.0,0.86,0.14,9.02,FM,0.9985540238501722,0.000836565591561305,0.9985540238501722,0.000572010828092821,3.739973017367163e-05
0.0,0.88,0.12,9.16,FM,0.9987694982552806,0.0007441653759121044,0.9987694982552806,0.00046029655640497153,2.6039812402409944e-05
0.0,0.9,0.1,9.3,FM,0.9988238007152485,0.0006382489002599143,0.9988238007152485,0.000510923127306874,2.7027257184679427e-05
0.0,0.92,0.08,9.440000000000001,FM,0.9991017019642242,0.00045421651857791457,0.9991017019642242,0.00042020873490867204,2.3872782289216317e-05
0.0,0.94,0.06,9.579999999999998,FM,0.9991525110475501,0.00041554100814960275,0.9991525110475501,0.0004097957470201587,2.2152197280153064e-05
0.0,0.96,0.04,9.719999999999999,FM,0.9990413120133561,0.0004686302228896832,0.9990413120133561,0.0004653562461418185,2.4701517612289425e-05
0.0,0.98,0.02,9.860000000000001,FM,0.9991700646049202,0.00040360541639547184,0.9991700646049202,0.0004024486388264814,2.388133985774376e-05
0.0,1.0,0.0,10.0,FM,0.9999415850484784,1.3394971546429384e-05,0.9999415850484784,4.234245229635252e-05,2.6775276789126407e-06
0.02,0.0,0.98,3.08,NM,0.9964123000571553,0.00024203042623573858,0.0032039267177671484,0.0001417427988418339,0.9964123000571553
0.02,0.02,0.96,3.2199999999999998,NM,0.9974452760146482,0.00015075283705689971,0.002278543290320176,0.0001254278579747386,0.9974452760146482
0.02,0.04,0.94,3.36,NM,0.997313688123686,0.00014873360315360688,0.0024059056367126273,0.00013167263644782567,0.997313688123686
0.02,0.06,0.92,3.5,NM,0.9976061074851105,0.00015303260373425562,0.0021044511990279662,0.0001364087121273299,0.9976061074851105
0.02,0.08,0.9,3.64,NM,0.9919876865725419,0.0005251334039275854,0.007016018835896259,0.00047116118763427465,0.9919876865725419
0.02,0.1,0.88,3.7800000000000002,NM,0.9929431767758661,0.0005335056732463043,0.006044484336879905,0.0004788332140076777,0.9929431767758661
0.02,0.12,0.86,3.92,NM,0.9799926844158865,0.0037694365063168627,0.014542893854776119,0.001694985223020573,0.9799926844158865
0.02,0.14,0.84,4.0600000000000005,NM,0.978081490620584,0.004364712879523074,0.015874009836391895,0.001679786663500973,0.978081490620584
0.02,0.16,0.82,4.2,NM,0.9743561836853223,0.0030724421866067625,0.02086229119688544,0.0017090829311854857,0.9743561836853223
0.02,0.18,0.8,4.34,NM,0.9738427689828213,0.0029826055417091738,0.021445092534551003,0.0017295329409185438,0.9738427689828213
0.02,0.2,0.78,4.48,NM,0.9598591272549278,0.004946456992000729,0.03245264033732043,0.002741775415751011,0.9598591272549278
0.02,0.22,0.76,4.620000000000001,NM,0.9551982514255161,0.00456435136862594,0.03728534452286429,0.0029520526829936817,0.9551982514255161
0.02,0.24,0.74,4.76,NM,0.9558021406538879,0.0026441898180745594,0.039299617298660244,0.002254052229377224,0.9558021406538879
0.02,0.26,0.72,4.9,NM,0.9709867489183253,0.0015478693671364355,0.026118200392426735,0.0013471813221115159,0.9709867489183253
0.02,0.28,0.7,5.04,NM,0.9739635468447254,0.0017160376801549217,0.022930015070978367,0.001390400404141334,0.9739635468447254
0.02,0.3,0.68,5.18,NM,0.9640443020123948,0.002297927376150535,0.03196883833876984,0.0016889322726847487,0.9640443020123948
0.02,0.32,0.66,5.32,NM,0.972793028815799,0.001989926578020409,0.023763197492636407,0.0014538471135442355,0.972793028815799
0.02,0.34,0.64,5.460000000000001,NM,0.8998717986112216,0.004139250166100973,0.09296377736967557,0.0030251738530019156,0.8998717986112216
0.02,0.36,0.62,5.6,NM,0.9282783491919623,0.003980163111891759,0.06546569871507761,0.0022757889810683645,0.9282783491919623
0.02,0.38,0.6,5.74,NM,0.9828320967608996,0.0014310622728419087,0.014915134786197083,0.0008217061800615087,0.9828320967608996
0.02,0.4,0.58,5.879999999999999,FM,0.6120714078485563,0.05897309467275522,0.6120714078485563,0.03465246926839153,0.2943030282102968
0.02,0.42,0.56,6.02,NM,0.49518825455677506,0.04622280157013386,0.4303834272963814,0.028205516576709656,0.49518825455677506
0.02,0.44,0.54,6.16,NM,0.6031671252091472,0.04204401339188475,0.33010371380015713,0.024685147598810967,0.6031671252091472
0.02,0.46,0.52,6.300000000000001,NM,0.9252922574659028,0.011278240052268828,0.05623020074181619,0.0071993017400122684,0.9252922574659028
0.02,0.48,0.5,6.4399999999999995,NM,0.9299984482584701,0.010743260071383064,0.05226778016272859,0.006990511507418195,0.9299984482584701
0.02,0.5,0.48,6.58,NM,0.8758474098509187,0.012510450143198114,0.10217542117687727,0.009466718829005957,0.8758474098509187
0.02,0.52,0.46,6.72,NM,0.8752173697774863,0.012601625763825565,0.10356634410738591,0.008614660351302315,0.8752173697774863
0.02,0.54,0.44,6.86,NM,0.8778155776264408,0.014491686409586316,0.09964522157078229,0.008047514393190588,0.8778155776264408
0.02,0.56,0.42,7.0,NM,0.8346765086486451,0.017808297037879575,0.13589934113840052,0.011615853175074907,0.8346765086486451
0.02,0.58,0.4,7.14,FM,0.513043348410702,0.046915423454935754,0.513043348410702,0.03459607524135483,0.4054451528930074
0.02,0.6,0.38,7.279999999999999,FM,0.5305478696032958,0.05757332375071813,0.5305478696032958,0.13171157355684737,0.2801672330891387
0.02,0.62,0.36,7.42,FiM,0.6012559646676301,0.01597062533764082,0.34628930121986023,0.6012559646676301,0.03648410877486886
0.02,0.64,0.34,7.5600000000000005,FiM,0.737701954377646,0.007440495369897749,0.24602096815111857,0.737701954377646,0.008836582101337736
0.02,0.66,0.32,7.7,FM,0.881442712392991,0.020128165119367776,0.881442712392991,0.09291413933679879,0.0055149831508424655
0.02,0.68,0.3,7.84,FM,0.9647320154764011,0.01918771092855966,0.9647320154764011,0.013200491550550562,0.002879782044488741
0.02,0.7,0.28,7.9799999999999995,FM,0.9179129931751059,0.047308019654894756,0.9179129931751059,0.02829322861419416,0.006485758555805352
0.02,0.72,0.26,8.12,FM,0.6754683826296924,0.02534949535638324,0.6754683826296924,0.014375456668237287,0.28480666534568694
0.02,0.74,0.24,8.26,FM,0.5881004124737852,0.03772319558474081,0.5881004124737852,0.026137874241986117,0.34803851769948785
0.02,0.76,0.22,8.399999999999999,FM,0.9573807375782768,0.008197859365888852,0.9573807375782768,0.005856606569563478,0.02856479648627074
0.02,0.78,0.2,8.540000000000001,FM,0.9712313175227861,0.004291170756669857,0.9712313175227861,0.0029175478590620987,0.02155996386148192
0.02,0.8,0.18,8.68,FM,0.9976672394563917,0.0013132435941619477,0.9976672394563917,0.0008530602394821569,0.0001664567099641048
0.02,0.82,0.16,8.82,FM,0.9979958523672667,0.001157455089008611,0.9979958523672667,0.0007817931202969593,6.48994234279073e-05
0.02,0.84,0.14,8.96,FM,0.9980733153462225,0.0011135903795773195,0.9980733153462225,0.0007618251970853114,5.1269077114909313e-05
0.02,0.86,0.12,9.1,FM,0.9984807065362882,0.0009038897769817702,0.9984807065362882,0.0005919676912051303,2.3435995524917414e-05
0.02,0.88,0.1,9.240000000000002,FM,0.9987629473277754,0.000691046242896937,0.9987629473277754,0.0005295268830129632,1.64795463145265e-05
0.02,0.9,0.08,9.38,FM,0.9990019189846406,0.0005439275436048242,0.9990019189846406,0.00043935156519067257,1.4801906563973314e-05
0.02,0.92,0.06,9.520000000000001,FM,0.9991135984586792,0.0004378932049638931,0.9991135984586792,0.00043496503764766135,1.3543298709107261e-05
0.02,0.94,0.04,9.659999999999998,FM,0.9990227570371245,0.00047646645025396653,0.9990227570371245,0.00048591665574620324,1.4859856875362284e-05
