# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues calculated from a spin-polarized calculation
# Eigenvalues read from hea.EIG
# Kpoint weights read from hea.KP
# Using smearing parameter:   0.0500
# Using 200 points in the energy range
# Selected bands: 1 to: 50
# Emin, Emax in file for selected band(s):    -87.1667428    244.1419360
# Nbands, Nspin, Nk   =     50     2    89
# E_F                 =    -7.7239 eV --> (shifted to ZERO)
# Broadening          =     0.0500 eV
#
#        E            N(up)        N(down)         Ntot
    216.087928      0.000000      0.000000      0.000000
    217.755811      0.000000      0.000000      0.000000
    219.423694      0.000000      0.000000      0.000000
    221.091577      0.000000      0.000000      0.000000
    222.759459      0.000000      0.000000      0.000000
    224.427342      0.000000      0.000000      0.000000
    226.095225      0.000000      0.000000      0.000000
    227.763108      0.000000      0.000000      0.000000
    229.430991      0.000000      0.000000      0.000000
    231.098874      0.000000      0.000000      0.000000
    232.766756      0.000000      0.000000      0.000000
    234.434639      0.000000      0.000000      0.000000
    236.102522      0.000000      0.000000      0.000000
    237.770405      0.000000      0.000000      0.000000
    239.438288      0.000108      0.000108      0.000217
    241.106170      0.000000      0.000000      0.000000
    242.774053      0.000000      0.000000      0.000000
    244.441936      0.000000      0.000000      0.000000
